sku,producto,current_price,cost,competitor_ref,ref_store,decision,suggested,delta,reason
"MS3032JAS","Horno Microondas NeoChef™ 1.1 pies³ EasyClean",2799,2887.77,2699,"Coppel",manual_review,,,"current_price below floor, manual review"
"MH1596DIR","Horno Microondas NeoChef™ 1.5 pies³ con Grill",3999,3799,4355,"Mercado Libre",manual_review,,,"current_price below floor, manual review"
"24GS50F-B","Monitor gaming UltraGear™ FHD de 24” y 180 Hz, MBR",3499,2776.67,4319,"CyberPuerta",hold,3499,0.00,"already at or below competitor, no change"
"34WR50QK-B","Monitor curvo LG UltraWide QHD de 34""",7099,7110,5558,"Mercado Libre",manual_review,,,"current_price below floor, manual review"
"24G411A-B","Monitor gaming LG UltraGear™ G4 de 24 pulgadas, 14",2999,2699,2699,"LG",manual_review,,,"current_price below floor, manual review"
"XG2TBK","Bocina Bluetooth portátil LG XBOOM Go XG2TBK de gr",1099,1101.11,999,"Coppel",manual_review,,,"current_price below floor, manual review"
"XO2TBE","LG XBOOM 360 XO2TBE bocina bluetooth con sonido om",3699,3221.11,2599,"Mercado Libre",manual_review,,,"current_price below floor, manual review"
"WK22VS6P","Torre de lavado WashTower™ con AI DD™ 22kg (con Se",38999,32399.1,35999,"LG",hold_above_floor,37258.96,-1740.04,"competitor_min below margin_floor"
"LDFC2423V","Lavavajillas LG con Dynamic Dry™ Empotre",10799,9999,10399.01,"LG",manual_review,,,"current_price below floor, manual review"
"LP1225IVSM","LG Portátil Inverter, 1 Ton, Frío (Voltaje 115V / ",11999,9899.18,12909,"Sears",hold,11999,0.00,"already at or below competitor, no change"
"A9K-PRO","Aspiradora Inalámbrica LG CordZero™ Gris",12399,10349.1,11499,"LG",hold_above_floor,11901.47,-497.53,"competitor_min below margin_floor"
"MCL2440PSBB0","Centro de lavado Mabe, 24kg, blanco",48245.44,28998.84,27995,"Chedraui",hold_above_floor,33348.67,-14896.77,"competitor_min below margin_floor"
"URNA1DIS","Cafetera de Urna Nuur 50 Tazas, 1 Dispensador, 7.4",2434.03,1140.29,,"N/A",hold,2434.03,0.00,"competitor data missing, holding current"
"SANWI5","Sanwichera Nuur, 5 moldes diferentes para coccion",1885.39,758.4,,"N/A",hold,1885.39,0.00,"competitor data missing, holding current"
"LIPOR2","Licuadora Nuur, 2 vasos portátiles con tapa, 600ml",1611.07,664.54,,"N/A",hold,1611.07,0.00,"competitor data missing, holding current"
"CAFEJAR4","Cafetera Eléctrica Nuur, Jarra de vidrio de 600ml,",1062.43,325.8,,"N/A",hold,1062.43,0.00,"competitor data missing, holding current"
"PARGA5AI","Parrilla Nuur de 5 quemadores, para gas, acero ino",7097.46,4012.06,,"N/A",hold,7097.46,0.00,"competitor data missing, holding current"
"PARGA4VTM","Parrilla Nuur de 4 quemadores, para gas, vidrio te",6685.98,3752.07,,"N/A",hold,6685.98,0.00,"competitor data missing, holding current"
"A56-5G","Smartphone Samsung A56 5G, 8GB RAM, 256GB",11486.58,5798.84,8999,"Telcel",lower_to_competitor,8999,-2487.58,"competitor_min above margin_floor"
"S25-ULTRA-512","Smartphone Samsung S25 Ultra 5G 12/512GB",30322.75,17999,24999,"Coppel",lower_to_competitor,24999,-5323.75,"competitor_min above margin_floor"
"A17-4/128","Smartphone Galaxy A17 4/128GB",5863.02,2299,2599,"Telcel",hold_above_floor,2643.85,-3219.17,"competitor_min below margin_floor"
"G75-256","Smartphone Motorola G75 5G 8/256GB",6617.4,3699,4149,"Coppel",hold_above_floor,4253.85,-2363.55,"competitor_min below margin_floor"
"EDGE-60-FUSION-5G","Smartphone Motorola Edge 60 Fusion 5G, 8/256GB",8743.38,4629,7999,"Telcel",lower_to_competitor,7999,-744.38,"competitor_min above margin_floor"
"IPHONE-14-PRO-128","iPhone 14 Pro Apple, 128GB",14504.1,8499,9599,"Amazon",hold_above_floor,9773.85,-4730.25,"competitor_min below margin_floor"
"REDMI-NOTE-14-PRO","Smartphone Xiaomi Redmi Note 14 Pro, 8GB RAM, 256G",8743.38,4859,6299,"Telcel",lower_to_competitor,6299,-2444.38,"competitor_min above margin_floor"
"REDMI-NOTE-14C-256","Xiaomi Redmi 14C 4G 4/256GB",4687.56,2099,2999,"Sears",lower_to_competitor,2999,-1688.56,"competitor_min above margin_floor"
"REDMI-A5-64","Xiaomi Redmi A5 4G 3/64GB",3119.83,1449,1999,"Coppel",lower_to_competitor,1999,-1120.83,"competitor_min above margin_floor"
"REDMI-15C-128","Smartphone Xiaomi Redmi 15C 4/128GB",4217.1,2119,2799,"Telcel",lower_to_competitor,2799,-1418.10,"competitor_min above margin_floor"
"XIAOMI-WATCH-5","Smartwatch Xiaomi Watch 5 Active",1405.33,539,669,"Coppel",lower_to_competitor,669,-736.33,"competitor_min above margin_floor"
"ECHO-SHOW-5-3A","Amazon Echo Show 5, 3a generación",3119.83,1509,4299,"Elektra",hold,3119.83,0.00,"already at or below competitor, no change"
"ECHO-SHOW-11","Amazon Echo Show 11 Vibrant, Pantalla FHD",7646.1,4319,5499,"Mercado Libre",lower_to_competitor,5499,-2147.10,"competitor_min above margin_floor"
"TCL50QLED","Pantalla TCL 50"" 4K QLED 2023",10389.3,5949,6669,"Abasteo",hold_above_floor,6841.35,-3547.95,"competitor_min below margin_floor"
"ACER-TAB10","Tablet Acer Sospiro AS10L",5863.02,2999,,"",hold,5863.02,0.00,"competitor data missing, holding current"
"SENW-AUD-HEAD","Audífonos de Diadema Senwa S300, Ergonómicos",1999,926.84,,"",hold,1999,0.00,"competitor data missing, holding current"
